Team,Latitude,Longitude
Arsenal,51.555,-0.108611
Aston Villa,52.509167,-1.884722
Birmingham,52.475703,-1.868189
Blackburn,53.728611,-2.489167
Blackpool,53.804722,-3.048056
Bolton,53.580556,-2.535556
Bournemouth,50.735271,-1.838322
Brighton,50.861822,-0.083278
Burnley ,53.789167,-2.230278
Cardiff,51.472778,-3.203056
Chelsea,51.481667,-0.191111
Crystal Palace,51.398333,-0.085556
Everton,53.438889,-2.966389
Fulham,51.475,-0.221667
Huddersfield,53.654343,-1.768149
Hull,53.746111,-0.367778
Leicester,52.620278,-1.142222
Liverpool,53.430819,-2.960828
Man City,53.482989,-2.200292
Man United,53.463056,-2.291389
Middlesbrough,54.578333,-1.216944
Newcastle,54.975556,-1.621667
Norwich,52.622128,1.308653
Portsmouth,50.796389,-1.063889
QPR,51.509167,-0.232222
Reading,51.422222,-0.982778
Southampton,50.905833,-1.391111
Stoke,52.988333,-2.175556
Sunderland,54.9144,-1.3882
Swansea,51.6422,-3.9351
Tottenham,51.603333,-0.065833
Watford,51.649836,-0.401486
West Brom,52.509167,-1.963889
West Ham,51.531944,0.039444
Wigan,53.547778,-2.653889
Wolves,52.590278,-2.130278
